niveau1,vondstnummer
Food Processing & Consumption,NZD1.00033CER018
Food Processing & Consumption,NZD1.00033CER020
Food Processing & Consumption,NZD1.00033CER023
Food Processing & Consumption,NZD1.00033CER024
Food Processing & Consumption,NZD1.00033CER026
Food Processing & Consumption,NZD1.00033CER038
Food Processing & Consumption,NZD1.00033CER039
Food Processing & Consumption,NZD1.00033CER041
Food Processing & Consumption,NZD1.00033CER042
Craft & Industry,NZD1.00033FAU011
Personal Artefacts & Clothing,NZD1.00033LEE004
Distribution & Transport,NZD1.00033MTL003
Distribution & Transport,NZD1.00033MTL005
Craft & Industry,NZD1.00033TXT001
Food Processing & Consumption,NZD1.00034CER001
Food Processing & Consumption,NZD1.00034CER008
Food Processing & Consumption,NZD1.00034CER011
Food Processing & Consumption,NZD1.00034CER012
Food Processing & Consumption,NZD1.00034CER017
Food Processing & Consumption,NZD1.00034CER022
Personal Artefacts & Clothing,NZD1.00034LEE008
Distribution & Transport,NZD1.00034MTL003
Craft & Industry,NZD1.00034TXT001
Food Processing & Consumption,NZD1.00035CER001
Food Processing & Consumption,NZD1.00035CER002
Food Processing & Consumption,NZD1.00035CER022
Food Processing & Consumption,NZD1.00035CER028
Food Processing & Consumption,NZD1.00035CER034
Food Processing & Consumption,NZD1.00035CER039
Food Processing & Consumption,NZD1.00035CER054
Food Processing & Consumption,NZD1.00035CER057
Food Processing & Consumption,NZD1.00035CER059
Food Processing & Consumption,NZD1.00035CER062
Food Processing & Consumption,NZD1.00035CER063
Food Processing & Consumption,NZD1.00035CER066
Personal Artefacts & Clothing,NZD1.00035LEE005
Food Processing & Consumption,NZD1.00035MTL001
Craft & Industry,NZD1.00035TXT002
Food Processing & Consumption,NZD1.00036CER001
Food Processing & Consumption,NZD1.00036CER006
Food Processing & Consumption,NZD1.00036CER014
Food Processing & Consumption,NZD1.00036CER018
Food Processing & Consumption,NZD1.00036CER039
Food Processing & Consumption,NZD1.00036CER045
Food Processing & Consumption,NZD1.00036CER062
Food Processing & Consumption,NZD1.00036CER064
Food Processing & Consumption,NZD1.00036CER065
Food Processing & Consumption,NZD1.00036CER066
Food Processing & Consumption,NZD1.00036CER068
Craft & Industry,NZD1.00036HT001
Personal Artefacts & Clothing,NZD1.00036LEE006
Personal Artefacts & Clothing,NZD1.00036LEE009
Distribution & Transport,NZD1.00036MTL005
Food Processing & Consumption,NZD1.00037CER011
Food Processing & Consumption,NZD1.00037CER013
Food Processing & Consumption,NZD1.00037CER025
Food Processing & Consumption,NZD1.00037CER029
Food Processing & Consumption,NZD1.00037CER033
Food Processing & Consumption,NZD1.00037CER045
Food Processing & Consumption,NZD1.00037CER055
Food Processing & Consumption,NZD1.00037CER056
Food Processing & Consumption,NZD1.00037CER057
Food Processing & Consumption,NZD1.00037CER058
Food Processing & Consumption,NZD1.00037CER059
Personal Artefacts & Clothing,NZD1.00037LEE006
Personal Artefacts & Clothing,NZD1.00037LEE012
Distribution & Transport,NZD1.00037MTL006
Distribution & Transport,NZD1.00037MTL011
Food Processing & Consumption,NZD1.00038CER004
Food Processing & Consumption,NZD1.00038CER008
Food Processing & Consumption,NZD1.00038CER009
Food Processing & Consumption,NZD1.00038CER024
Food Processing & Consumption,NZD1.00038CER026
Food Processing & Consumption,NZD1.00038CER028
Food Processing & Consumption,NZD1.00038CER031
Food Processing & Consumption,NZD1.00038CER034
Food Processing & Consumption,NZD1.00038CER049
Food Processing & Consumption,NZD1.00038CER051
Food Processing & Consumption,NZD1.00038CER052
Food Processing & Consumption,NZD1.00038CER054
Food Processing & Consumption,NZD1.00038CER055
Food Processing & Consumption,NZD1.00038CER056
Food Processing & Consumption,NZD1.00038CER057
Craft & Industry,NZD1.00038FAU014
Personal Artefacts & Clothing,NZD1.00038LEE005
Personal Artefacts & Clothing,NZD1.00038LEE008
Distribution & Transport,NZD1.00038MTL003
Craft & Industry,NZD1.00038STN001
Craft & Industry,NZD1.00038TXT001
Craft & Industry,NZD1.00038TXT002
Food Processing & Consumption,NZD1.00039CER001
Food Processing & Consumption,NZD1.00039CER007
Food Processing & Consumption,NZD1.00039CER014
Food Processing & Consumption,NZD1.00039CER023
Food Processing & Consumption,NZD1.00039CER027
Food Processing & Consumption,NZD1.00039CER030
Food Processing & Consumption,NZD1.00039CER033
Food Processing & Consumption,NZD1.00039CER035
Food Processing & Consumption,NZD1.00039CER036
Food Processing & Consumption,NZD1.00039CER055
Food Processing & Consumption,NZD1.00039CER056
Food Processing & Consumption,NZD1.00039CER058
Food Processing & Consumption,NZD1.00039CER059
Distribution & Transport,NZD1.00039CER060
Food Processing & Consumption,NZD1.00039CER061
Craft & Industry,NZD1.00039CER063
Food Processing & Consumption,NZD1.00039CER067
Food Processing & Consumption,NZD1.00039CER069
Personal Artefacts & Clothing,NZD1.00039HT004
